price_total,location,property_type,square_meters,construction_type,construction_year,floor_number,floor_type
209000.0,Люлин 2,Тристаен,113.0,Тухла,2026.0,5.0,Непоследен
310000.0,Сердика,Тристаен,134.0,Тухла,2025.0,9.0,Непоследен
146038.0,Света Троица,Двустаен,68.0,Тухла,2022.0,5.0,Непоследен
233064.0,Банишора,Тристаен,108.0,Тухла,2023.0,5.0,Непоследен
225000.0,Яворов,Двустаен,63.0,Тухла,1970.0,1.0,Първи жилищен
130000.0,Хаджи Димитър,Двустаен,67.0,Панел,1980.0,4.0,Непоследен
289000.0,Белите Брези,Тристаен,117.0,Тухла,2007.0,5.0,Непоследен
320000.0,Център,Многостаен,240.0,Тухла,1927.0,1.0,Първи жилищен
220000.0,Дървеница,Двустаен,65.0,Панел,1982.0,6.0,Непоследен
200900.0,Разсадника,Двустаен,82.0,Тухла,2023.0,3.0,Непоследен
135000.0,Павлово,Двустаен,37.0,Тухла,2023.0,1.0,Първи жилищен
135000.0,Бъкстон,Двустаен,37.0,Тухла,2023.0,1.0,Партер
260000.0,Надежда 3,Многостаен,174.0,Тухла,2025.0,4.0,Непоследен
260000.0,Надежда 3,Тристаен,174.0,Тухла,2025.0,4.0,Непоследен
142000.0,Надежда 3,Двустаен,81.0,Тухла,2025.0,5.0,Непоследен
142000.0,Надежда 3,Двустаен,81.0,Тухла,2025.0,5.0,Последен етаж
95000.0,Люлин 4,Едностаен,44.0,ЕПК/ПК,1990.0,5.0,Непоследен
165000.0,Сухата река,Двустаен,76.0,Тухла,1980.0,2.0,Непоследен
95000.0,Надежда 2,Едностаен,46.0,Панел,1984.0,1.0,Първи жилищен
175000.0,Център,Двустаен,45.0,Тухла,1970.0,2.0,Непоследен
220000.0,Бенковски,Многостаен,162.0,Тухла,1984.0,2.0,Непоследен
370000.0,Център,Тристаен,100.0,Тухла,1960.0,2.0,Непоследен
390000.0,Младост 4,Многостаен,174.0,Тухла,2010.0,8.0,Непоследен
232000.0,Младост 1,Тристаен,90.0,Панел,1970.0,8.0,Последен етаж
175000.0,Център,Двустаен,70.0,Тухла,1971.0,3.0,Непоследен
170000.0,Хаджи Димитър,Тристаен,148.0,Тухла,2015.0,4.0,Непоследен
195000.0,Център,Едностаен,60.0,Тухла,1955.0,4.0,Непоследен
150000.0,Павлово,Тристаен,72.0,Тухла,2026.0,3.0,Непоследен
160000.0,Овча Купел 2,Двустаен,6636.0,Панел,2000.0,9.0,Непоследен
125742.0,Банишора,Двустаен,6618.0,Тухла,2000.0,1.0,Непоследен
127509.0,Карпузица,Двустаен,6711.0,Тухла,2025.0,1.0,Непоследен
112906.0,Дружба 1,Двустаен,6266.0,Тухла,2026.0,1.0,Непоследен
117645.0,Зона Б19,Двустаен,58.0,Тухла,2027.0,1.0,Непоследен
110000.0,Свобода,Едностаен,44.0,Панел,1979.0,,Непоследен
115224.0,Зона Б19,Двустаен,57.0,Тухла,2027.0,4.0,Непоследен
196750.0,Зона Б19,Тристаен,97.0,Тухла,2027.0,1.0,Непоследен
272824.0,Стрелбище,Едностаен,123.0,Тухла,2026.0,6.0,Непоследен
179208.0,Красна Поляна,Тристаен,94.0,Тухла,2026.0,8.0,Последен етаж
192432.0,Красна Поляна,Тристаен,101.0,Тухла,2026.0,2.0,Непоследен
149794.0,Модерно Предградие,Двустаен,112.0,Тухла,2026.0,1.0,Партер
302784.0,Модерно Предградие,Многостаен,189.0,Тухла,2026.0,6.0,Последен етаж
171346.0,Модерно Предградие,Тристаен,118.0,Тухла,2026.0,3.0,Непоследен
104300.0,Модерно Предградие,Двустаен,67.0,Тухла,2026.0,3.0,Непоследен
170000.0,Банишора,Двустаен,52.0,Тухла,2014.0,3.0,Непоследен
175000.0,Западен Парк,Двустаен,65.0,Панел,1979.0,,Непоследен
325113.0,Малинова Долина,Многостаен,205.0,Тухла,,5.0,Непоследен
223875.0,Малинова Долина,Многостаен,149.0,Тухла,,1.0,Непоследен
272284.0,Драгалевци,Тристаен,113.0,Тухла,,1.0,Партер
186281.0,Овча Купел,Тристаен,96.0,Тухла,,2.0,Непоследен
93000.0,Банишора,Едностаен,43.0,Тухла,,1.0,Непоследен
204547.0,Овча Купел,Тристаен,114.0,Тухла,,2.0,Непоследен
102000.0,Банишора,Двустаен,47.0,Тухла,,1.0,Непоследен
239900.0,Карпузица,Тристаен,125.0,ЕПК/ПК,,3.0,Непоследен
165000.0,Малинова Долина,Двустаен,79.0,Тухла,,5.0,Последен етаж
184980.0,Студентски Град,Двустаен,72.0,Тухла,,1.0,Непоследен
449000.0,Редута,Многостаен,188.0,Тухла,,2.0,Непоследен
114000.0,Обеля 2,Двустаен,71.0,Тухла,,5.0,Непоследен
124000.0,Люлин 1,Двустаен,77.0,Тухла,,6.0,Непоследен
270000.0,Овча Купел 2,Тристаен,135.0,Тухла,,7.0,Последен етаж
187250.0,Горна Баня,Двустаен,125.0,Тухла,2005.0,1.0,Първи жилищен
255000.0,Борово,Двустаен,65.0,Тухла,2015.0,4.0,Непоследен
200025.0,Малинова Долина,Тристаен,114.0,Тухла,2026.0,4.0,Непоследен
159705.0,Малинова Долина,Двустаен,76.0,Тухла,2025.0,3.0,
194900.0,Дианабад,Двустаен,78.0,Тухла,2005.0,2.0,
445000.0,Оборище,Тристаен,118.0,Тухла,2025.0,5.0,
270000.0,Център,Едностаен,50.0,Тухла,1965.0,3.0,
215000.0,Манастирски Ливади,Двустаен,110.0,Тухла,2020.0,1.0,
350000.0,Младост 3,Многостаен,100.0,ЕПК/ПК,1992.0,7.0,
249500.0,Манастирски Ливади,Двустаен,74.0,Тухла,2005.0,4.0,
355000.0,Манастирски Ливади,Тристаен,95.0,Тухла,2023.0,2.0,
211000.0,Манастирски Ливади,Двустаен,77.0,Тухла,2008.0,2.0,
215000.0,Манастирски Ливади,Тристаен,95.0,Тухла,2025.0,3.0,
241340.0,Бояна,Тристаен,121.0,Тухла,2024.0,3.0,Непоследен
298000.0,Малинова Долина,Тристаен,104.0,Тухла,2021.0,3.0,Непоследен
290000.0,Център,Двустаен,70.0,Тухла,1939.0,3.0,Непоследен
267688.0,Овча Купел,Тристаен,91.0,Тухла,2025.0,1.0,Партер
199000.0,Студентски Град,Двустаен,60.0,Тухла,2018.0,7.0,Непоследен
171721.0,Овча Купел,Двустаен,67.0,Тухла,2025.0,4.0,Непоследен
180000.0,Хаджи Димитър,Тристаен,85.0,Панел,1988.0,5.0,Непоследен
140000.0,Люлин 1,Двустаен,47.0,ЕПК/ПК,1980.0,5.0,Непоследен
